"CHN201804100",8,"$Pirates challenged call that Contreras was safe at 3rd; call was overturned - out at third"FILENAME_TX","LINE_NUMBER_CT"
"CHN201808280",36,"Mound Visit"2018CHN.EVN.regular.comment.csv",257

"CHN201808280",44,"Mound Visit"2018CHN.EVN.regular.comment.csv",258

"CHN201808280",45,"Mound Visit"2018CHN.EVN.regular.comment.csv",259

"CHN201808280",45,"Mound Visit"2018CHN.EVN.regular.comment.csv",260

"CHN201808280",55,"Mound Visit"2018CHN.EVN.regular.comment.csv",261

"CHN201808280",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",262

"CHN201808280",69,"Mound Visit"2018CHN.EVN.regular.comment.csv",263

"CHN201808280",77,"suspended,20180829,CHI11,rain $Game suspended at this point after 57 minute rain delay, completed next day suspended,20180829,CHI11,rain"2018CHN.EVN.regular.comment.csv",264

"CHN201808280",91,"Mound Visit"2018CHN.EVN.regular.comment.csv",265

"CHN201808290",24,"Mound Visit"2018CHN.EVN.regular.comment.csv",266

"CHN201808290",25,"$Cubs challenged call that Conforto was safe at 1st; call was overturned - out on pickoff"2018CHN.EVN.regular.comment.csv",267

"CHN201808290",48,"Mound Visit"2018CHN.EVN.regular.comment.csv",268

"CHN201808290",56,"Mound Visit"2018CHN.EVN.regular.comment.csv",269

"CHN201808290",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",270

"CHN201808290",66,"Injury Delay"2018CHN.EVN.regular.comment.csv",271

"CHN201809100",12,"Mound Visit"2018CHN.EVN.regular.comment.csv",272

"CHN201809100",30,"Mound Visit"2018CHN.EVN.regular.comment.csv",273

"CHN201809100",41,"Mound Visit"2018CHN.EVN.regular.comment.csv",274

"CHN201809100",46,"Injury Delay"2018CHN.EVN.regular.comment.csv",275

"CHN201809100",48,"Injury Delay"2018CHN.EVN.regular.comment.csv",276

"CHN201809100",48,"$Jon Lester left with an injured back"2018CHN.EVN.regular.comment.csv",277

"CHN201809100",50,"Mound Visit"2018CHN.EVN.regular.comment.csv",278

"CHN201809100",59,"Mound Visit"2018CHN.EVN.regular.comment.csv",279

"CHN201809100",66,"Mound Visit"2018CHN.EVN.regular.comment.csv",280

"CHN201809100",73,"Mound Visit"2018CHN.EVN.regular.comment.csv",281

"CHN201809100",74,"$Brewers challenged call that Santana was out at 1st; call was upheld - out on pickoff On-field Delay"2018CHN.EVN.regular.comment.csv",282

"CHN201809110",13,"On-field Delay"2018CHN.EVN.regular.comment.csv",283

"CHN201809110",25,"Mound Visit"2018CHN.EVN.regular.comment.csv",284

"CHN201809110",46,"Mound Visit"2018CHN.EVN.regular.comment.csv",285

"CHN201809110",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",286

"CHN201809110",48,"$Brewers challenged call that Perez was out at 1st; call was overturned - single"2018CHN.EVN.regular.comment.csv",287

"CHN201809110",48,"Mound Visit"2018CHN.EVN.regular.comment.csv",288

"CHN201809110",54,"Mound Visit"2018CHN.EVN.regular.comment.csv",289

"CHN201809110",59,"Mound Visit"2018CHN.EVN.regular.comment.csv",290

"CHN201809110",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",291

